rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,                         M3_SVM ,    0.1   , 0.15 (- * -----      |              ), 0.01,  0.05,  0.10,  0.16,  0.31
   1 ,                         M6_SVM ,    0.1   , 0.15 (- *  ----      |              ), 0.01,  0.05,  0.10,  0.17,  0.32
   1 ,                          M3_RF ,    0.11   , 0.14 (-- * -----     |              ), 0.02,  0.07,  0.11,  0.18,  0.35
   1 ,                          M6_RF ,    0.12   , 0.16 (-- * ------    |              ), 0.03,  0.07,  0.12,  0.19,  0.38
   2 ,                         M3_KNN ,    0.13   , 0.17 (-- *  ----     |              ), 0.03,  0.08,  0.13,  0.21,  0.36
   2 ,                         M6_KNN ,    0.14   , 0.17 (--  * ----     |              ), 0.03,  0.09,  0.14,  0.21,  0.36
   2 ,                        ALL_SVM ,    0.14   , 0.23 (--  *  ------  |              ), 0.01,  0.07,  0.14,  0.25,  0.45
   2 ,                         ALL_RF ,    0.15   ,  0.2 ( -  *  ------  |              ), 0.04,  0.10,  0.15,  0.25,  0.44
   3 ,                        ALL_KNN ,    0.17   , 0.19 ( --  * ------  |              ), 0.05,  0.11,  0.17,  0.26,  0.45
   3 ,                          M3_LR ,    0.17   , 0.17 ( --  * ------  |              ), 0.06,  0.12,  0.17,  0.25,  0.44
   3 ,                          M6_LR ,    0.19   ,  0.2 ( --  *  ------ |              ), 0.06,  0.12,  0.19,  0.27,  0.50
   3 ,                          M3_DT ,    0.19   , 0.19 (  -  *  ------ |              ), 0.07,  0.13,  0.19,  0.28,  0.48
   3 ,                          M6_DT ,    0.2   ,  0.2 (  -- *  ------ |              ), 0.08,  0.14,  0.20,  0.29,  0.50
   4 ,                         ALL_DT ,    0.25   , 0.24 (  ---  *  -----|              ), 0.10,  0.17,  0.25,  0.36,  0.53
   4 ,                         ALL_LR ,    0.25   ,  0.3 ( ---   *   ----|----          ), 0.06,  0.16,  0.25,  0.40,  0.67
   4 ,          RESAMPLE_150_25_25_RF ,    0.26   , 0.29 ( ---   *   ----|--            ), 0.06,  0.16,  0.26,  0.39,  0.62
   4 ,         RESAMPLE_150_25_25_SVM ,    0.26   , 0.27 (  ---  *   ----|-             ), 0.07,  0.17,  0.26,  0.38,  0.58
   5 ,          RESAMPLE_150_25_25_NB ,    0.29   , 0.51 (---     *      |----------    ), 0.00,  0.12,  0.29,  0.51,  0.90
   5 ,          RESAMPLE_150_25_25_LR ,    0.31   , 0.26 (   ---   *  ---|--            ), 0.11,  0.22,  0.31,  0.42,  0.61
   5 ,         RESAMPLE_150_25_25_KNN ,    0.32   , 0.27 (   ---   *  ---|--            ), 0.12,  0.22,  0.32,  0.43,  0.62
   5 ,                          M3_NB ,    0.32   ,  0.3 (   ---   *   --|----          ), 0.11,  0.22,  0.32,  0.45,  0.70
   5 ,                          M6_NB ,    0.33   , 0.32 (   ----  *    -|------        ), 0.12,  0.24,  0.33,  0.47,  0.75
   5 ,          RESAMPLE_150_25_25_DT ,    0.35   , 0.32 (   ---    *   -|-----         ), 0.11,  0.23,  0.35,  0.49,  0.72
   6 ,                         ALL_NB ,    0.4   , 0.35 (   -----   *   |---------     ), 0.11,  0.28,  0.40,  0.55,  0.86
