rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,                          M3_RF ,    0.42   , 0.33 (   -----    *  |-----         ), 0.12,  0.29,  0.42,  0.55,  0.71
   1 ,                         M3_SVM ,    0.43   , 0.43 (  -----     *  | ------       ), 0.08,  0.26,  0.43,  0.60,  0.78
   1 ,                          M6_RF ,    0.43   , 0.33 (   -----    *  |-----         ), 0.12,  0.29,  0.43,  0.55,  0.71
   1 ,                         M6_SVM ,    0.44   , 0.42 (  ------     * | ------       ), 0.07,  0.27,  0.44,  0.60,  0.77
   1 ,                         M3_KNN ,    0.47   , 0.36 (    -----     *|  -----       ), 0.14,  0.33,  0.47,  0.61,  0.78
   1 ,                          M3_DT ,    0.48   , 0.28 (     -----    *| -----        ), 0.20,  0.36,  0.48,  0.58,  0.74
   1 ,                         ALL_RF ,    0.49   , 0.32 (     -----    *| -----        ), 0.17,  0.35,  0.49,  0.60,  0.74
   1 ,                          M6_DT ,    0.5   , 0.29 (     ------   *| ----         ), 0.20,  0.37,  0.50,  0.59,  0.73
   1 ,                         M6_KNN ,    0.5   , 0.34 (    ------    *|  -----       ), 0.15,  0.35,  0.50,  0.62,  0.78
   1 ,                        ALL_SVM ,    0.5   , 0.39 (    ------    *|    ----      ), 0.14,  0.35,  0.50,  0.67,  0.83
   2 ,                         ALL_DT ,    0.52   , 0.25 (       -----   *  ---         ), 0.25,  0.43,  0.52,  0.61,  0.73
   2 ,          RESAMPLE_150_25_25_RF ,    0.52   , 0.37 (     ------    *    ----      ), 0.17,  0.38,  0.52,  0.67,  0.83
   2 ,                        ALL_KNN ,    0.55   , 0.31 (     -------   |*   ---       ), 0.20,  0.42,  0.55,  0.67,  0.79
   2 ,          RESAMPLE_150_25_25_NB ,    0.55   , 0.69 (-------        |*      ------ ), 0.00,  0.24,  0.55,  0.79,  1.00
   2 ,          RESAMPLE_150_25_25_DT ,    0.57   , 0.36 (     -------   | *  ------    ), 0.20,  0.43,  0.57,  0.70,  0.88
   2 ,                          M3_LR ,    0.58   ,  0.3 (       ------  | *  ----      ), 0.26,  0.46,  0.58,  0.70,  0.83
   3 ,                          M6_LR ,    0.59   ,  0.3 (        ------ | *   ----     ), 0.28,  0.47,  0.59,  0.71,  0.85
   3 ,         RESAMPLE_150_25_25_SVM ,    0.6   , 0.34 (       ------  | *   -----    ), 0.25,  0.45,  0.60,  0.73,  0.88
   3 ,                         ALL_LR ,    0.65   , 0.33 (        ------ |   *  ----    ), 0.29,  0.50,  0.65,  0.76,  0.90
   3 ,         RESAMPLE_150_25_25_KNN ,    0.65   , 0.29 (         ------|   *  ----    ), 0.33,  0.52,  0.65,  0.76,  0.89
   4 ,          RESAMPLE_150_25_25_LR ,    0.71   , 0.29 (           ----|-    *  ---   ), 0.38,  0.59,  0.71,  0.82,  0.93
   4 ,                          M3_NB ,    0.76   , 0.32 (         ------|--    *   --- ), 0.33,  0.62,  0.76,  0.87,  1.00
   4 ,                          M6_NB ,    0.78   , 0.33 (          -----|---    *  --- ), 0.34,  0.64,  0.78,  0.88,  1.00
   4 ,                         ALL_NB ,    0.83   , 0.31 (         ------|----    *  -- ), 0.33,  0.67,  0.83,  0.91,  1.00
