rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,          RESAMPLE_150_25_25_NB ,    0.54   , 0.14 (            - *| ---          ), 0.46,  0.50,  0.54,  0.62,  0.72
   1 ,          RESAMPLE_150_25_25_DT ,    0.58   , 0.15 (           --- |* --          ), 0.45,  0.53,  0.58,  0.64,  0.72
   2 ,          RESAMPLE_150_25_25_RF ,    0.61   , 0.13 (            ---|* ---         ), 0.48,  0.55,  0.61,  0.66,  0.74
   3 ,              RECENT_RELEASE_DT ,    0.62   , 0.12 (             --| *---         ), 0.50,  0.57,  0.62,  0.67,  0.75
   3 ,              RECENT_RELEASE_RF ,    0.63   , 0.14 (             --| * --         ), 0.51,  0.58,  0.63,  0.68,  0.76
   3 ,         RESAMPLE_150_25_25_SVM ,    0.64   , 0.13 (             --|  *---        ), 0.51,  0.59,  0.64,  0.70,  0.77
   3 ,             RECENT_RELEASE_SVM ,    0.64   , 0.15 (             --|  *---        ), 0.51,  0.58,  0.64,  0.70,  0.78
   3 ,             RECENT_RELEASE_KNN ,    0.64   , 0.13 (              -|  *---        ), 0.52,  0.59,  0.64,  0.69,  0.77
   3 ,         RESAMPLE_150_25_25_KNN ,    0.64   , 0.14 (             --|  *---        ), 0.51,  0.59,  0.64,  0.69,  0.77
   4 ,              RECENT_RELEASE_NB ,    0.66   , 0.14 (             --|  * --        ), 0.51,  0.61,  0.66,  0.71,  0.79
   4 ,          RESAMPLE_150_25_25_LR ,    0.68   , 0.14 (              -|-  *---       ), 0.54,  0.62,  0.68,  0.72,  0.79
   4 ,              RECENT_RELEASE_LR ,    0.68   , 0.14 (              -|-  * --       ), 0.55,  0.63,  0.68,  0.73,  0.80
