rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,             RECENT_RELEASE_SVM ,    0.23   , 0.13 (   --  *---    |              ), 0.11,  0.18,  0.23,  0.29,  0.38
   1 ,              RECENT_RELEASE_LR ,    0.24   , 0.12 (    -- *---    |              ), 0.13,  0.19,  0.24,  0.29,  0.37
   1 ,              RECENT_RELEASE_RF ,    0.24   , 0.15 (   --  * ---   |              ), 0.12,  0.19,  0.24,  0.30,  0.39
   1 ,             RECENT_RELEASE_KNN ,    0.25   , 0.13 (   --  * --    |              ), 0.12,  0.19,  0.25,  0.30,  0.38
   2 ,              RECENT_RELEASE_DT ,    0.28   , 0.16 (    --- * ---  |              ), 0.15,  0.23,  0.28,  0.35,  0.45
   3 ,         RESAMPLE_150_25_25_SVM ,    0.31   , 0.18 (     --  *  ---|              ), 0.17,  0.25,  0.31,  0.39,  0.51
   3 ,              RECENT_RELEASE_NB ,    0.32   , 0.17 (     --- * ----|              ), 0.18,  0.26,  0.32,  0.38,  0.50
   3 ,          RESAMPLE_150_25_25_LR ,    0.32   , 0.17 (     --- *  ---|              ), 0.18,  0.26,  0.32,  0.39,  0.50
   3 ,          RESAMPLE_150_25_25_RF ,    0.33   ,  0.2 (     ---  * ---|              ), 0.17,  0.26,  0.33,  0.42,  0.54
   3 ,         RESAMPLE_150_25_25_KNN ,    0.34   , 0.18 (     ---  * ---|              ), 0.19,  0.27,  0.34,  0.41,  0.52
   4 ,          RESAMPLE_150_25_25_NB ,    0.37   , 0.24 (     ---   *  -|----          ), 0.19,  0.29,  0.37,  0.48,  0.66
   4 ,          RESAMPLE_150_25_25_DT ,    0.39   ,  0.2 (      ---   * -|--            ), 0.21,  0.31,  0.39,  0.47,  0.61
