rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,              RECENT_RELEASE_LR ,    0.35   , 0.17 (       --  *  -|--            ), 0.22,  0.29,  0.35,  0.42,  0.55
   1 ,          RESAMPLE_150_25_25_LR ,    0.36   , 0.16 (       --  * --|-             ), 0.23,  0.30,  0.36,  0.42,  0.54
   1 ,              RECENT_RELEASE_NB ,    0.38   , 0.18 (       ---  *  |---           ), 0.24,  0.32,  0.38,  0.46,  0.60
   1 ,         RESAMPLE_150_25_25_KNN ,    0.39   , 0.16 (        --  * -|--            ), 0.25,  0.33,  0.39,  0.45,  0.56
   1 ,         RESAMPLE_150_25_25_SVM ,    0.4   , 0.18 (        --   * |---           ), 0.25,  0.33,  0.40,  0.47,  0.58
   2 ,             RECENT_RELEASE_KNN ,    0.41   , 0.19 (        ---  * |----          ), 0.26,  0.34,  0.41,  0.49,  0.62
   2 ,             RECENT_RELEASE_SVM ,    0.42   , 0.23 (        ---  * | ----         ), 0.25,  0.34,  0.42,  0.52,  0.65
   2 ,              RECENT_RELEASE_DT ,    0.42   , 0.16 (         ---  *|---           ), 0.28,  0.37,  0.42,  0.49,  0.60
   2 ,              RECENT_RELEASE_RF ,    0.43   ,  0.2 (        ---   *| ---          ), 0.27,  0.36,  0.43,  0.52,  0.63
   2 ,          RESAMPLE_150_25_25_RF ,    0.44   , 0.18 (         ---  *|----          ), 0.28,  0.37,  0.44,  0.51,  0.62
   2 ,          RESAMPLE_150_25_25_DT ,    0.46   , 0.18 (         ---   * ---          ), 0.30,  0.39,  0.46,  0.53,  0.63
   3 ,          RESAMPLE_150_25_25_NB ,    0.54   , 0.29 (          ---- | *   --       ), 0.30,  0.43,  0.54,  0.66,  0.71
