rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,          RESAMPLE_150_25_25_NB ,    0.42   , 0.56 (----        *  | -----        ), 0.00,  0.16,  0.42,  0.59,  0.75
   2 ,              RECENT_RELEASE_RF ,    0.48   , 0.33 (   -------    *| ----         ), 0.13,  0.34,  0.48,  0.59,  0.73
   2 ,             RECENT_RELEASE_SVM ,    0.5   , 0.39 (   -------    *|   ---        ), 0.12,  0.34,  0.50,  0.64,  0.76
   2 ,              RECENT_RELEASE_DT ,    0.51   , 0.26 (      -----    *  ---         ), 0.23,  0.40,  0.51,  0.61,  0.73
   2 ,          RESAMPLE_150_25_25_RF ,    0.53   , 0.28 (     -------   *  ---         ), 0.20,  0.41,  0.53,  0.63,  0.73
   2 ,             RECENT_RELEASE_KNN ,    0.53   , 0.32 (     ------    *   ---        ), 0.17,  0.38,  0.53,  0.64,  0.75
   2 ,          RESAMPLE_150_25_25_DT ,    0.54   , 0.26 (      ------   |* ----        ), 0.22,  0.43,  0.54,  0.62,  0.74
   3 ,         RESAMPLE_150_25_25_SVM ,    0.59   , 0.26 (        ------ | *  ---       ), 0.28,  0.48,  0.59,  0.68,  0.79
   3 ,              RECENT_RELEASE_LR ,    0.61   , 0.24 (        ------ |  * ---       ), 0.29,  0.50,  0.61,  0.69,  0.79
   3 ,         RESAMPLE_150_25_25_KNN ,    0.62   , 0.22 (           ----|  * ---       ), 0.37,  0.53,  0.62,  0.70,  0.79
   3 ,              RECENT_RELEASE_NB ,    0.65   , 0.25 (        -------|   * ---      ), 0.29,  0.54,  0.65,  0.73,  0.82
   4 ,          RESAMPLE_150_25_25_LR ,    0.68   , 0.21 (           ----|-   * --      ), 0.40,  0.59,  0.68,  0.74,  0.82
